request_id,department,urgency,corridor_id,asset_id,track_type,required_duration_minutes,earliest_start_minute,latest_end_minute,is_traffic_block_required,is_power_block_required,days_overdue,has_linked_defect,conflicting_train_count,target_priority_score
REQ-001,Traction Distribution,MEDIUM,COR-CSMT-KYN,AST-SMT-KYN-TRD-015,BOTH,60,664,789,1,1,0,0,1,46.8
REQ-002,Engineering,LOW,COR-MAS-AJJ,AST-MAS-AJJ-ENG-029,BOTH,60,238,344,1,0,0,1,0,35.66
REQ-003,Traction Distribution,CRITICAL,COR-HWH-BWN,AST-HWH-BWN-TRD-024,BOTH,180,63,346,1,1,26,1,3,100.0
REQ-004,Engineering,LOW,COR-MAS-AJJ,AST-MAS-AJJ-ENG-029,BOTH,180,107,323,1,0,0,1,1,40.83
REQ-005,Engineering,MEDIUM,COR-HWH-BWN,AST-HWH-BWN-ENG-019,DOWN,60,805,957,1,1,0,0,1,42.95
REQ-006,Traction Distribution,LOW,COR-CSMT-KYN,AST-SMT-KYN-TRD-015,BOTH,60,204,332,1,1,0,0,1,41.69
REQ-007,Signalling & Telecom,HIGH,COR-CSMT-KYN,AST-SMT-KYN-SNT-016,BOTH,60,166,333,1,0,0,0,1,44.59
REQ-008,Signalling & Telecom,HIGH,COR-MAS-AJJ,AST-MAS-AJJ-SNT-036,UP,240,173,481,0,0,0,1,3,52.29
REQ-009,Engineering,MEDIUM,COR-MAS-AJJ,AST-MAS-AJJ-ENG-030,UP,120,75,303,1,0,9,1,1,50.96
REQ-010,Traction Distribution,HIGH,COR-HWH-BWN,AST-HWH-BWN-TRD-023,DOWN,90,127,331,1,1,0,0,3,52.41
REQ-011,Engineering,HIGH,COR-HWH-BWN,AST-HWH-BWN-ENG-019,DOWN,90,100,220,1,0,0,0,2,46.0
REQ-012,Traction Distribution,LOW,COR-NDLS-GZB,AST-DLS-GZB-TRD-005,UP,240,68,367,1,1,0,0,4,48.53
REQ-013,Traction Distribution,MEDIUM,COR-NDLS-GZB,AST-DLS-GZB-TRD-004,UP,120,832,991,1,1,18,1,1,67.45
REQ-014,Engineering,MEDIUM,COR-HWH-BWN,AST-HWH-BWN-ENG-020,BOTH,240,701,1025,1,1,0,0,1,50.41
REQ-015,Traction Distribution,HIGH,COR-CSMT-KYN,AST-SMT-KYN-TRD-013,DOWN,90,672,801,1,1,0,0,1,49.98
REQ-016,Signalling & Telecom,HIGH,COR-MAS-AJJ,AST-MAS-AJJ-SNT-036,UP,120,205,391,1,0,0,1,2,58.45
REQ-017,Engineering,LOW,COR-MAS-AJJ,AST-MAS-AJJ-ENG-029,BOTH,120,739,953,1,0,0,1,1,38.11
REQ-018,Engineering,LOW,COR-HWH-BWN,AST-HWH-BWN-ENG-021,BOTH,180,70,335,1,0,0,1,3,44.29
REQ-019,Engineering,LOW,COR-MAS-AJJ,AST-MAS-AJJ-ENG-028,BOTH,120,118,354,1,0,0,0,1,35.08
REQ-020,Traction Distribution,CRITICAL,COR-HWH-BWN,AST-HWH-BWN-TRD-022,BOTH,240,65,421,0,1,34,1,5,100.0
REQ-021,Engineering,MEDIUM,COR-CSMT-KYN,AST-SMT-KYN-ENG-011,DOWN,240,104,434,1,0,0,1,1,45.77
REQ-022,Engineering,MEDIUM,COR-MAS-AJJ,AST-MAS-AJJ-ENG-028,BOTH,120,209,414,1,0,0,0,2,43.35
REQ-023,Signalling & Telecom,MEDIUM,COR-HWH-BWN,AST-HWH-BWN-SNT-026,DOWN,60,164,296,1,0,0,0,3,41.55
REQ-024,Engineering,LOW,COR-HWH-BWN,AST-HWH-BWN-ENG-021,BOTH,90,237,420,1,0,0,1,4,44.92
REQ-025,Signalling & Telecom,MEDIUM,COR-NDLS-GZB,AST-DLS-GZB-SNT-007,BOTH,240,82,392,1,0,0,0,4,51.24
REQ-026,Traction Distribution,MEDIUM,COR-CSMT-KYN,AST-SMT-KYN-TRD-014,BOTH,240,600,954,0,1,0,0,4,46.28
REQ-027,Traction Distribution,MEDIUM,COR-MAS-AJJ,AST-MAS-AJJ-TRD-033,UP,180,192,448,1,1,0,0,3,50.03
REQ-028,Engineering,CRITICAL,COR-CSMT-KYN,AST-SMT-KYN-ENG-010,UP,180,73,309,1,0,36,1,1,96.13
REQ-029,Engineering,MEDIUM,COR-NDLS-GZB,AST-DLS-GZB-ENG-001,DOWN,90,824,1033,1,0,13,1,1,53.21
REQ-030,Signalling & Telecom,HIGH,COR-CSMT-KYN,AST-SMT-KYN-SNT-017,UP,60,911,1031,1,0,0,1,2,57.0
REQ-031,Engineering,HIGH,COR-NDLS-GZB,AST-DLS-GZB-ENG-003,UP,240,117,401,1,0,0,0,4,51.95
REQ-032,Engineering,HIGH,COR-NDLS-GZB,AST-DLS-GZB-ENG-003,UP,90,134,319,1,0,0,0,4,48.36
REQ-033,Traction Distribution,MEDIUM,COR-CSMT-KYN,AST-SMT-KYN-TRD-014,BOTH,180,724,992,1,1,0,0,3,53.72
REQ-034,Traction Distribution,MEDIUM,COR-HWH-BWN,AST-HWH-BWN-TRD-023,DOWN,90,860,997,0,1,0,0,1,34.57
REQ-035,Traction Distribution,MEDIUM,COR-CSMT-KYN,AST-SMT-KYN-TRD-013,DOWN,180,189,433,0,1,0,0,1,35.38
REQ-036,Signalling & Telecom,MEDIUM,COR-NDLS-GZB,AST-DLS-GZB-SNT-007,BOTH,120,896,1130,1,0,0,0,1,41.13
REQ-037,Signalling & Telecom,LOW,COR-HWH-BWN,AST-HWH-BWN-SNT-026,DOWN,180,201,480,0,0,0,0,5,33.45
REQ-038,Signalling & Telecom,HIGH,COR-MAS-AJJ,AST-MAS-AJJ-SNT-034,UP,90,119,291,1,1,0,0,1,50.23
REQ-039,Traction Distribution,LOW,COR-CSMT-KYN,AST-SMT-KYN-TRD-015,BOTH,180,229,522,0,1,0,0,3,38.14
REQ-040,Traction Distribution,MEDIUM,COR-NDLS-GZB,AST-DLS-GZB-TRD-005,UP,60,211,343,0,1,0,0,3,37.55
REQ-041,Engineering,MEDIUM,COR-MAS-AJJ,AST-MAS-AJJ-ENG-028,BOTH,60,176,267,1,0,0,0,1,41.59
REQ-042,Engineering,MEDIUM,COR-MAS-AJJ,AST-MAS-AJJ-ENG-028,BOTH,90,127,290,1,0,0,0,1,40.52
REQ-043,Signalling & Telecom,MEDIUM,COR-HWH-BWN,AST-HWH-BWN-SNT-027,BOTH,60,945,1103,1,0,0,0,1,39.8
REQ-044,Signalling & Telecom,HIGH,COR-CSMT-KYN,AST-SMT-KYN-SNT-017,UP,180,618,907,1,1,0,1,2,66.23
REQ-045,Signalling & Telecom,CRITICAL,COR-NDLS-GZB,AST-DLS-GZB-SNT-009,UP,120,646,851,1,0,41,1,1,95.35
REQ-046,Signalling & Telecom,HIGH,COR-MAS-AJJ,AST-MAS-AJJ-SNT-036,UP,60,237,365,1,0,0,1,0,51.69
REQ-047,Traction Distribution,HIGH,COR-MAS-AJJ,AST-MAS-AJJ-TRD-033,UP,120,170,338,1,1,0,0,1,50.14
REQ-048,Engineering,MEDIUM,COR-MAS-AJJ,AST-MAS-AJJ-ENG-030,UP,180,106,337,1,1,9,1,1,61.49
REQ-049,Traction Distribution,CRITICAL,COR-HWH-BWN,AST-HWH-BWN-TRD-022,BOTH,240,917,1274,1,1,34,1,1,100.0
REQ-050,Engineering,MEDIUM,COR-NDLS-GZB,AST-DLS-GZB-ENG-001,DOWN,240,178,529,1,0,13,1,4,63.24
REQ-051,Signalling & Telecom,CRITICAL,COR-MAS-AJJ,AST-MAS-AJJ-SNT-035,UP,120,838,1024,1,0,33,1,1,95.95
REQ-052,Engineering,MEDIUM,COR-CSMT-KYN,AST-SMT-KYN-ENG-012,BOTH,120,753,984,1,0,0,0,3,45.19
REQ-053,Engineering,LOW,COR-CSMT-KYN,AST-SMT-KYN-ENG-012,BOTH,120,137,312,1,0,0,0,1,36.86
REQ-054,Traction Distribution,CRITICAL,COR-MAS-AJJ,AST-MAS-AJJ-TRD-031,BOTH,180,157,440,1,1,34,1,2,100.0
REQ-055,Signalling & Telecom,MEDIUM,COR-HWH-BWN,AST-HWH-BWN-SNT-027,BOTH,120,228,428,1,0,0,0,4,49.5
REQ-056,Signalling & Telecom,LOW,COR-NDLS-GZB,AST-DLS-GZB-SNT-007,BOTH,60,854,980,1,0,0,0,0,33.26
REQ-057,Engineering,LOW,COR-MAS-AJJ,AST-MAS-AJJ-ENG-029,BOTH,120,108,337,1,0,0,1,1,37.74
REQ-058,Traction Distribution,LOW,COR-MAS-AJJ,AST-MAS-AJJ-TRD-033,UP,90,220,422,1,1,0,0,2,39.96
REQ-059,Signalling & Telecom,MEDIUM,COR-MAS-AJJ,AST-MAS-AJJ-SNT-034,UP,60,93,194,1,0,0,0,1,37.94
REQ-060,Engineering,MEDIUM,COR-NDLS-GZB,AST-DLS-GZB-ENG-003,UP,90,198,364,1,0,0,0,3,41.42
REQ-061,Engineering,MEDIUM,COR-NDLS-GZB,AST-DLS-GZB-ENG-003,UP,90,183,340,1,0,0,0,3,41.73
REQ-062,Traction Distribution,MEDIUM,COR-CSMT-KYN,AST-SMT-KYN-TRD-013,DOWN,60,79,187,1,1,0,0,0,41.06
REQ-063,Engineering,CRITICAL,COR-CSMT-KYN,AST-SMT-KYN-ENG-010,UP,90,945,1115,1,0,36,1,2,96.29
REQ-064,Signalling & Telecom,CRITICAL,COR-MAS-AJJ,AST-MAS-AJJ-SNT-035,UP,240,161,432,1,0,33,1,2,100.0
REQ-065,Engineering,LOW,COR-MAS-AJJ,AST-MAS-AJJ-ENG-029,BOTH,120,944,1127,1,0,0,1,0,36.56
REQ-066,Signalling & Telecom,LOW,COR-NDLS-GZB,AST-DLS-GZB-SNT-007,BOTH,120,119,329,0,1,0,0,4,42.21
REQ-067,Signalling & Telecom,HIGH,COR-MAS-AJJ,AST-MAS-AJJ-SNT-036,UP,240,216,514,1,0,0,1,4,65.05
REQ-068,Engineering,MEDIUM,COR-NDLS-GZB,AST-DLS-GZB-ENG-002,UP,120,89,256,1,1,0,0,4,53.69
REQ-069,Engineering,HIGH,COR-CSMT-KYN,AST-SMT-KYN-ENG-012,BOTH,120,659,821,1,1,0,0,1,55.41
REQ-070,Traction Distribution,LOW,COR-HWH-BWN,AST-HWH-BWN-TRD-023,DOWN,90,154,359,0,1,0,0,4,34.89
REQ-071,Signalling & Telecom,HIGH,COR-MAS-AJJ,AST-MAS-AJJ-SNT-036,UP,240,99,422,0,0,0,1,2,49.43
REQ-072,Engineering,LOW,COR-NDLS-GZB,AST-DLS-GZB-ENG-003,UP,180,743,957,1,0,0,0,0,31.91
REQ-073,Engineering,HIGH,COR-NDLS-GZB,AST-DLS-GZB-ENG-002,UP,180,120,376,1,1,0,0,4,58.53
REQ-074,Engineering,LOW,COR-CSMT-KYN,AST-SMT-KYN-ENG-012,BOTH,120,225,420,1,1,0,0,1,44.15
REQ-075,Signalling & Telecom,CRITICAL,COR-NDLS-GZB,AST-DLS-GZB-SNT-009,UP,120,91,299,1,1,41,1,4,100.0
REQ-076,Signalling & Telecom,LOW,COR-HWH-BWN,AST-HWH-BWN-SNT-026,DOWN,240,625,937,1,1,0,0,2,45.19
REQ-077,Signalling & Telecom,LOW,COR-HWH-BWN,AST-HWH-BWN-SNT-027,BOTH,90,201,347,0,0,0,0,3,32.16
REQ-078,Signalling & Telecom,HIGH,COR-CSMT-KYN,AST-SMT-KYN-SNT-016,BOTH,120,905,1055,0,0,0,0,2,41.5
REQ-079,Signalling & Telecom,HIGH,COR-CSMT-KYN,AST-SMT-KYN-SNT-016,BOTH,240,104,388,1,0,0,0,1,49.45
REQ-080,Traction Distribution,HIGH,COR-MAS-AJJ,AST-MAS-AJJ-TRD-032,DOWN,120,721,946,1,1,0,0,2,50.83
REQ-081,Engineering,HIGH,COR-HWH-BWN,AST-HWH-BWN-ENG-020,BOTH,120,167,384,1,1,0,0,4,61.03
REQ-082,Signalling & Telecom,LOW,COR-HWH-BWN,AST-HWH-BWN-SNT-025,UP,60,152,307,1,0,3,1,3,40.77
REQ-083,Engineering,MEDIUM,COR-CSMT-KYN,AST-SMT-KYN-ENG-011,DOWN,90,622,826,1,0,0,1,1,42.91
REQ-084,Signalling & Telecom,MEDIUM,COR-HWH-BWN,AST-HWH-BWN-SNT-026,DOWN,60,182,323,1,0,0,0,3,41.26
REQ-085,Engineering,LOW,COR-MAS-AJJ,AST-MAS-AJJ-ENG-028,BOTH,180,80,331,1,0,0,0,1,37.17
REQ-086,Traction Distribution,HIGH,COR-NDLS-GZB,AST-DLS-GZB-TRD-005,UP,90,222,416,1,1,0,0,3,52.64
REQ-087,Signalling & Telecom,CRITICAL,COR-CSMT-KYN,AST-SMT-KYN-SNT-018,DOWN,120,212,429,1,0,0,1,1,70.03
REQ-088,Signalling & Telecom,MEDIUM,COR-NDLS-GZB,AST-DLS-GZB-SNT-008,UP,60,658,831,1,0,0,0,1,35.47
REQ-089,Signalling & Telecom,LOW,COR-HWH-BWN,AST-HWH-BWN-SNT-025,UP,90,118,290,1,0,3,1,3,42.13
